Activation;Tonic;Genes_Polyfun;Genes_Prolif;Genes_Teff;GlucoliticProcess;CD8_CARHigh_Signature;KEGG1;KEGG2;Exhaustion1;Exhau_2;Temeff_TnTcm;Gluconeogenesis;TricarboxylicAcidCycle
;;;;;;AL121944.1;;;;;;;
;;;;;;EMID1;;;;;;;
;;;;;;LINC00565;;;;;;;
;;;;;;RND1;;;;;;;
;;;;;;IFNG;;;;;;;
;;;;;;LIN9;;;;;;;
;;;;;;SLC9A7;;;;;;;
;;;;;;NMNAT3;;;;;;;
;;;;;;PSD;;;;;;;
;;;;;;LINC02648;;;;;;;
;;;;;;RAB13;;;;;;;
;;;;;;PHLDA2;;;;;;;
;;;;;;CPXM1;;;;;;;
;;;;;;CYB561;;;;;;;
;;;;;;HLA-DRB6;;;;;;;
;;;;;;GTSF1L;;;;;;;
;;;;;;AQP3;;;;;;;
;;;;;;PRKCE;;;;;;;
;;;;;;CCNE2;;;;;;;
;;;;;;BUB1B;;;;;;;
;;;;;;AC087741.1;;;;;;;
;;;;;;AFMID;;;;;;;
;;;;;;ADAMTSL5;;;;;;;
;;;;;;KIF24;;;;;;;
;;;;;;TSPAN33;;;;;;;
;;;;;;PTGER3;;;;;;;
;;;;;;LINC01862;;;;;;;
;;;;;;CFAP97D2;;;;;;;
;;;;;;PVR;;;;;;;
;;;;;;SGPP1;;;;;;;
;;;;;;TCEAL9;;;;;;;
;;;;;;ADGRD1;;;;;;;
;;;;;;LINC02539;;;;;;;
;;;;;;CCDC141;;;;;;;
;;;;;;TNFRSF10D;;;;;;;
;;;;;;E2F7;;;;;;;
;;;;;;ADORA2B;;;;;;;
;;;;;;FANCB;;;;;;;
;;;;;;CD33;;;;;;;
;;;;;;DTL;;;;;;;
;;;;;;SUSD4;;;;;;;
;;;;;;RORC;;;;;;;
;;;;;;TP73;;;;;;;
;;;;;;AFF2;;;;;;;
;;;;;;ADGRA3;;;;;;;
;;;;;;TCP11L2;;;;;;;
;;;;;;CD40;;;;;;;
;;;;;;ADAMTS1;;;;;;;
;;;;;;MYO1B;;;;;;;
;;;;;;VIPR1;;;;;;;
;;;;;;ABCC2;;;;;;;
;;;;;;OR52N4;;;;;;;
;;;;;;NR4A2;;;;;;;
;;;;;;AC243964.3;;;;;;;
